X;Z;EXM;EZM;;;X;Z;EXM;EZM
-4;-4;0.0751979;0.0250728;;;-4;-4;5.13E-02;5.12E-02
-3.75;-4;0.079925;0.0260329;;;-3.75;-4;5.68E-02;5.32E-02
-3.5;-4;0.0850436;0.026911;;;-3.5;-4;6.29E-02;5.49E-02
-3.25;-4;0.0905626;0.0276638;;;-3.25;-4;6.96E-02;5.65E-02
-3;-4;0.0964788;0.0282389;;;-3;-4;7.70E-02;5.76E-02
-2.75;-4;0.102772;0.0285739;;;-2.75;-4;8.49E-02;5.83E-02
-2.5;-4;0.109397;0.0285976;;;-2.5;-4;9.35E-02;5.84E-02
-2.25;-4;0.116282;0.028232;;;-2.25;-4;1.03E-01;5.76E-02
-2;-4;0.123318;0.0273967;;;-2;-4;1.12E-01;5.59E-02
-1.75;-4;0.130354;0.0260155;;;-1.75;-4;1.21E-01;5.31E-02
-1.5;-4;0.137203;0.0240255;;;-1.5;-4;1.31E-01;4.90E-02
-1.25;-4;0.143637;0.0213879;;;-1.25;-4;1.40E-01;4.36E-02
-1;-4;0.149403;0.0180994;;;-1;-4;1.48E-01;3.69E-02
-0.75;-4;0.154239;0.0142016;;;-0.75;-4;1.55E-01;2.90E-02
-0.5;-4;0.157902;0.00978608;;;-0.5;-4;1.60E-01;2.00E-02
-0.25;-4;0.16019;0.00499282;;;-0.25;-4;1.63E-01;1.02E-02
0;-4;0.160967;1.59446E-17;;;0;-4;1.64E-01;2.57E-11
0.25;-4;0.16019;0.00499282;;;0.25;-4;1.63E-01;1.02E-02
0.5;-4;0.157902;0.00978608;;;0.5;-4;1.60E-01;2.00E-02
0.75;-4;0.154239;0.0142016;;;0.75;-4;1.55E-01;2.90E-02
1;-4;0.149403;0.0180994;;;1;-4;1.48E-01;3.69E-02
1.25;-4;0.143637;0.0213879;;;1.25;-4;1.40E-01;4.36E-02
1.5;-4;0.137203;0.0240255;;;1.5;-4;1.31E-01;4.90E-02
1.75;-4;0.130354;0.0260155;;;1.75;-4;1.21E-01;5.31E-02
2;-4;0.123318;0.0273967;;;2;-4;1.12E-01;5.59E-02
2.25;-4;0.116282;0.028232;;;2.25;-4;1.03E-01;5.76E-02
2.5;-4;0.109397;0.0285976;;;2.5;-4;9.35E-02;5.84E-02
2.75;-4;0.102772;0.0285739;;;2.75;-4;8.49E-02;5.83E-02
3;-4;0.0964788;0.0282389;;;3;-4;7.70E-02;5.76E-02
3.25;-4;0.0905626;0.0276638;;;3.25;-4;6.96E-02;5.65E-02
3.5;-4;0.0850436;0.026911;;;3.5;-4;6.29E-02;5.49E-02
3.75;-4;0.079925;0.0260329;;;3.75;-4;5.68E-02;5.32E-02
4;-4;0.0751979;0.0250728;;;4;-4;5.13E-02;5.12E-02
4.25;-4;0.0708451;0.0240648;;;4.25;-4;4.64E-02;4.91E-02
4.5;-4;0.0668445;0.0230359;;;4.5;-4;4.20E-02;4.70E-02
4.75;-4;0.0631715;0.0220063;;;4.75;-4;3.80E-02;4.49E-02
5;-4;0.0598005;0.0209912;;;5;-4;3.44E-02;4.29E-02
-5;-3.75;0.0594589;0.020996;;;-5;-3.75;3.23E-02;4.29E-02
-4.75;-3.75;0.0628917;0.0221118;;;-4.75;-3.75;3.58E-02;4.52E-02
-4.5;-3.75;0.0666522;0.0232612;;;-4.5;-3.75;3.98E-02;4.75E-02
-4.25;-3.75;0.070773;0.024431;;;-4.25;-3.75;4.42E-02;4.99E-02
-4;-3.75;0.0752871;0.0256028;;;-4;-3.75;4.92E-02;5.23E-02
-3.75;-3.75;0.0802265;0.0267508;;;-3.75;-3.75;5.48E-02;5.46E-02
-3.5;-3.75;0.0856199;0.0278405;;;-3.5;-3.75;6.11E-02;5.68E-02
-3.25;-3.75;0.091489;0.0288271;;;-3.25;-3.75;6.81E-02;5.89E-02
-3;-3.75;0.0978439;0.0296536;;;-3;-3.75;7.58E-02;6.05E-02
-2.75;-3.75;0.104677;0.0302498;;;-2.75;-3.75;8.43E-02;6.18E-02
-2.5;-3.75;0.111955;0.0305322;;;-2.5;-3.75;9.36E-02;6.23E-02
-2.25;-3.75;0.119609;0.0304056;;;-2.25;-3.75;1.04E-01;6.21E-02
-2;-3.75;0.12753;0.0297673;;;-2;-3.75;1.14E-01;6.08E-02
-1.75;-3.75;0.135553;0.0285146;;;-1.75;-3.75;1.25E-01;5.82E-02
-1.5;-3.75;0.14346;0.0265562;;;-1.5;-3.75;1.36E-01;5.42E-02
-1.25;-3.75;0.150977;0.023827;;;-1.25;-3.75;1.46E-01;4.86E-02
-1;-3.75;0.157787;0.0203046;;;-1;-3.75;1.55E-01;4.14E-02
-0.75;-3.75;0.163555;0.0160248;;;-0.75;-3.75;1.64E-01;3.27E-02
-0.5;-3.75;0.167955;0.0110909;;;-0.5;-3.75;1.70E-01;2.26E-02
-0.25;-3.75;0.170718;0.00567397;;;-0.25;-3.75;1.74E-01;1.16E-02
0;-3.75;0.17166;1.76E-17;;;0;-3.75;1.75E-01;2.92E-11
0.25;-3.75;0.170718;0.00567397;;;0.25;-3.75;1.74E-01;1.16E-02
0.5;-3.75;0.167955;0.0110909;;;0.5;-3.75;1.70E-01;2.26E-02
0.75;-3.75;0.163555;0.0160248;;;0.75;-3.75;1.64E-01;3.27E-02
1;-3.75;0.157787;0.0203046;;;1;-3.75;1.55E-01;4.14E-02
1.25;-3.75;0.150977;0.023827;;;1.25;-3.75;1.46E-01;4.86E-02
1.5;-3.75;0.14346;0.0265562;;;1.5;-3.75;1.36E-01;5.42E-02
1.75;-3.75;0.135553;0.0285146;;;1.75;-3.75;1.25E-01;5.82E-02
2;-3.75;0.12753;0.0297673;;;2;-3.75;1.14E-01;6.08E-02
2.25;-3.75;0.119609;0.0304056;;;2.25;-3.75;1.04E-01;6.21E-02
2.5;-3.75;0.111955;0.0305322;;;2.5;-3.75;9.36E-02;6.23E-02
2.75;-3.75;0.104677;0.0302498;;;2.75;-3.75;8.43E-02;6.18E-02
3;-3.75;0.0978439;0.0296536;;;3;-3.75;7.58E-02;6.05E-02
3.25;-3.75;0.091489;0.0288271;;;3.25;-3.75;6.81E-02;5.89E-02
3.5;-3.75;0.0856199;0.0278405;;;3.5;-3.75;6.11E-02;5.68E-02
3.75;-3.75;0.0802265;0.0267508;;;3.75;-3.75;5.48E-02;5.46E-02
4;-3.75;0.0752871;0.0256028;;;4;-3.75;4.92E-02;5.23E-02
4.25;-3.75;0.070773;0.024431;;;4.25;-3.75;4.42E-02;4.99E-02
4.5;-3.75;0.0666522;0.0232612;;;4.5;-3.75;3.98E-02;4.75E-02
4.75;-3.75;0.0628917;0.0221118;;;4.75;-3.75;3.58E-02;4.52E-02
5;-3.75;0.0594589;0.020996;;;5;-3.75;3.23E-02;4.29E-02
-5;-3.5;0.0590089;0.0208743;;;-5;-3.5;3.01E-02;4.26E-02
-4.75;-3.5;0.0624858;0.0220862;;;-4.75;-3.5;3.35E-02;4.51E-02
-4.5;-3.5;0.0663147;0.0233528;;;-4.5;-3.5;3.73E-02;4.77E-02
-4.25;-3.5;0.0705355;0.0246641;;;-4.25;-3.5;4.17E-02;5.04E-02
-4;-3.5;0.0751906;0.0260045;;;-4;-3.5;4.67E-02;5.31E-02
-3.75;-3.5;0.0803237;0.0273507;;;-3.75;-3.5;5.23E-02;5.58E-02
-3.5;-3.5;0.0859769;0.02867;;;-3.5;-3.5;5.87E-02;5.85E-02
-3.25;-3.5;0.092188;0.0299173;;;-3.25;-3.5;6.60E-02;6.11E-02
-3;-3.5;0.098985;0.0310328;;;-3;-3.5;7.41E-02;6.34E-02
-2.75;-3.5;0.106379;0.0319396;;;-2.75;-3.5;8.32E-02;6.52E-02
-2.5;-3.5;0.114353;0.0325418;;;-2.5;-3.5;9.32E-02;6.64E-02
-2.25;-3.5;0.122854;0.0327254;;;-2.25;-3.5;1.04E-01;6.68E-02
-2;-3.5;0.131774;0.0323611;;;-2;-3.5;1.16E-01;6.61E-02
-1.75;-3.5;0.140941;0.0313124;;;-1.75;-3.5;1.28E-01;6.39E-02
-1.5;-3.5;0.150105;0.0294493;;;-1.5;-3.5;1.40E-01;6.01E-02
-1.25;-3.5;0.158939;0.0266681;;;-1.25;-3.5;1.52E-01;5.44E-02
-1;-3.5;0.167047;0.0229152;;;-1;-3.5;1.64E-01;4.68E-02
-0.75;-3.5;0.173991;0.0182118;;;-0.75;-3.5;1.73E-01;3.72E-02
-0.5;-3.5;0.179337;0.0126715;;;-0.5;-3.5;1.81E-01;2.59E-02
-0.25;-3.5;0.182715;0.00650411;;;-0.25;-3.5;1.86E-01;1.33E-02
0;-3.5;0.183871;1.3545E-17;;;0;-3.5;1.87E-01;3.35E-11
0.25;-3.5;0.182715;0.00650411;;;0.25;-3.5;1.86E-01;1.33E-02
0.5;-3.5;0.179337;0.0126715;;;0.5;-3.5;1.81E-01;2.59E-02
0.75;-3.5;0.173991;0.0182118;;;0.75;-3.5;1.73E-01;3.72E-02
1;-3.5;0.167047;0.0229152;;;1;-3.5;1.64E-01;4.68E-02
1.25;-3.5;0.158939;0.0266681;;;1.25;-3.5;1.52E-01;5.44E-02
1.5;-3.5;0.150105;0.0294493;;;1.5;-3.5;1.40E-01;6.01E-02
1.75;-3.5;0.140941;0.0313124;;;1.75;-3.5;1.28E-01;6.39E-02
2;-3.5;0.131774;0.0323611;;;2;-3.5;1.16E-01;6.61E-02
2.25;-3.5;0.122854;0.0327254;;;2.25;-3.5;1.04E-01;6.68E-02
2.5;-3.5;0.114353;0.0325418;;;2.5;-3.5;9.32E-02;6.64E-02
2.75;-3.5;0.106379;0.0319396;;;2.75;-3.5;8.32E-02;6.52E-02
3;-3.5;0.098985;0.0310328;;;3;-3.5;7.41E-02;6.34E-02
3.25;-3.5;0.092188;0.0299173;;;3.25;-3.5;6.60E-02;6.11E-02
3.5;-3.5;0.0859769;0.02867;;;3.5;-3.5;5.87E-02;5.85E-02
3.75;-3.5;0.0803237;0.0273507;;;3.75;-3.5;5.23E-02;5.58E-02
4;-3.5;0.0751906;0.0260045;;;4;-3.5;4.67E-02;5.31E-02
4.25;-3.5;0.0705355;0.0246641;;;4.25;-3.5;4.17E-02;5.04E-02
4.5;-3.5;0.0663147;0.0233528;;;4.5;-3.5;3.73E-02;4.77E-02
4.75;-3.5;0.0624858;0.0220862;;;4.75;-3.5;3.35E-02;4.51E-02
5;-3.5;0.0590089;0.0208743;;;5;-3.5;3.01E-02;4.26E-02
-5;-3.25;0.0584527;0.0206078;;;-5;-3.25;2.76E-02;4.21E-02
-4.75;-3.25;0.0619538;0.0219075;;;-4.75;-3.25;3.09E-02;4.47E-02
-4.5;-3.25;0.0658285;0.0232846;;;-4.5;-3.25;3.46E-02;4.76E-02
-4.25;-3.25;0.0701247;0.0247332;;;-4.25;-3.25;3.89E-02;5.05E-02
-4;-3.25;0.0748947;0.0262421;;;-4;-3.25;4.38E-02;5.36E-02
-3.75;-3.25;0.0801947;0.0277923;;;-3.75;-3.25;4.95E-02;5.68E-02
-3.5;-3.25;0.0860831;0.0293547;;;-3.5;-3.25;5.59E-02;5.99E-02
-3.25;-3.25;0.0926168;0.0308867;;;-3.25;-3.25;6.33E-02;6.31E-02
-3;-3.25;0.0998467;0.0323282;;;-3;-3.25;7.17E-02;6.60E-02
-2.75;-3.25;0.107809;0.0335978;;;-2.75;-3.25;8.13E-02;6.86E-02
-2.5;-3.25;0.116514;0.0345889;;;-2.5;-3.25;9.20E-02;7.06E-02
-2.25;-3.25;0.125932;0.035168;;;-2.25;-3.25;1.04E-01;7.18E-02
-2;-3.25;0.135971;0.0351753;;;-2;-3.25;1.17E-01;7.18E-02
-1.75;-3.25;0.146457;0.0344326;;;-1.75;-3.25;1.31E-01;7.03E-02
-1.5;-3.25;0.157116;0.0327578;;;-1.5;-3.25;1.45E-01;6.69E-02
-1.25;-3.25;0.16756;0.0299911;;;-1.25;-3.25;1.59E-01;6.12E-02
-1;-3.25;0.177293;0.0260288;;;-1;-3.25;1.73E-01;5.31E-02
-0.75;-3.25;0.185743;0.0208624;;;-0.75;-3.25;1.84E-01;4.26E-02
-0.5;-3.25;0.192321;0.0146102;;;-0.5;-3.25;1.94E-01;2.98E-02
-0.25;-3.25;0.196509;0.00752986;;;-0.25;-3.25;2.00E-01;1.54E-02
0;-3.25;0.197948;1.38142E-17;;;0;-3.25;2.02E-01;3.89E-11
0.25;-3.25;0.196509;0.00752986;;;0.25;-3.25;2.00E-01;1.54E-02
0.5;-3.25;0.192321;0.0146102;;;0.5;-3.25;1.94E-01;2.98E-02
0.75;-3.25;0.185743;0.0208624;;;0.75;-3.25;1.84E-01;4.26E-02
1;-3.25;0.177293;0.0260288;;;1;-3.25;1.73E-01;5.31E-02
1.25;-3.25;0.16756;0.0299911;;;1.25;-3.25;1.59E-01;6.12E-02
